,大类,子类,基金代码,基金扩位简称,基金管理人,data_entries,taded_amount
35,股票ETF,跨市场股票（沪深京）ETF,510300,沪深300ETF,华泰柏瑞基金管理有限公司,543,1597136452957.0
3,股票ETF,单市场股票（沪）ETF,510050,上证50ETF,华夏基金管理有限公司,543,1041747100305.0
43,股票ETF,跨市场股票（沪深京）ETF,510500,中证500ETF,南方基金管理股份有限公司,543,792000937986.0
73,股票ETF,跨市场股票（沪深京）ETF,512480,半导体ETF,国联安基金管理有限公司,543,521642495784.0
100,股票ETF,跨市场股票（沪深京）ETF,512880,证券ETF,国泰基金管理有限公司,543,494978972841.0
36,股票ETF,跨市场股票（沪深京）ETF,510310,沪深300ETF易方达,易方达基金管理有限公司,543,384611191204.0
37,股票ETF,跨市场股票（沪深京）ETF,510330,沪深300ETF华夏,华夏基金管理有限公司,543,373335751798.0
51,股票ETF,跨市场股票（沪深京）ETF,512000,券商ETF,华宝基金管理有限公司,543,280865807797.0
52,股票ETF,跨市场股票（沪深京）ETF,512010,医药ETF,易方达基金管理有限公司,543,268201992696.0
162,股票ETF,跨市场股票（沪深京）ETF,515790,光伏ETF,华泰柏瑞基金管理有限公司,543,258487673811.0
88,股票ETF,跨市场股票（沪深京）ETF,512690,酒ETF,鹏华基金管理有限公司,543,246941904294.0
60,股票ETF,跨市场股票（沪深京）ETF,512170,医疗ETF,华宝基金管理有限公司,543,225385879690.0
94,股票ETF,跨市场股票（沪深京）ETF,512760,芯片ETF,国泰基金管理有限公司,543,187450424889.0
85,股票ETF,跨市场股票（沪深京）ETF,512660,军工ETF,国泰基金管理有限公司,543,153308555000.0
31,股票ETF,单市场股票（沪）ETF,510880,红利ETF,华泰柏瑞基金管理有限公司,543,137384003071.0
74,股票ETF,跨市场股票（沪深京）ETF,512500,中证500ETF华夏,华夏基金管理有限公司,543,121784804699.0
96,股票ETF,跨市场股票（沪深京）ETF,512800,银行ETF,华宝基金管理有限公司,543,106691406588.0
113,股票ETF,跨市场股票（沪深京）ETF,515030,新能源车ETF,华夏基金管理有限公司,543,106320398238.0
63,股票ETF,跨市场股票（沪深京）ETF,512200,房地产ETF,南方基金管理股份有限公司,543,105311016554.0
14,股票ETF,单市场股票（沪）ETF,510210,上证指数ETF,富国基金管理有限公司,543,101353615393.0
254,股票ETF,跨市场股票（沪深京）ETF,560050,MSCI中国A50ETF,汇添富基金管理股份有限公司,543,98836057016.0
130,股票ETF,跨市场股票（沪深京）ETF,515220,煤炭ETF,国泰基金管理有限公司,543,97195670620.0
54,股票ETF,跨市场股票（沪深京）ETF,512070,证券保险ETF,易方达基金管理有限公司,543,88457916174.0
189,股票ETF,跨市场股票（沪深京）ETF,516160,新能源ETF,南方基金管理股份有限公司,543,87871118102.0
